ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
H28,small_airport,Whetstone International Airport,4336,NA,US,US-MT,Port of Del Bonita,null,null,null,H28,"48.998198, -112.789222"
H31,closed,Lost Dutchman Heliport,1760,NA,US,US-AZ,Apache Junction,null,null,null,null,"33.425711, -111.544587"
H43,heliport,Haverstraw Heliport,12,NA,US,US-NY,Haverstraw,null,null,KH43,H43,"41.210983, -73.969792"
H47,small_airport,Hyampom Airport,1250,NA,US,US-CA,Hyampom,null,null,H47,H47,"40.627601623535156, -123.47100067138672"
H49,small_airport,Sackman Field,420,NA,US,US-IL,Columbia,null,null,H49,H49,"38.450599670410156, -90.23590087890625"
H57,small_airport,Bismarck Memorial Airport,1038,NA,US,US-MO,Bismarck,null,null,KH57,H57,"37.758793, -90.616832"
H63,seaplane_base,Harlan County Lake Seaplane Base,1946,NA,US,US-NE,Alma,null,null,KH63,H63,"40.043098, -99.2509"
H66,small_airport,Nowata Municipal Airport,679,NA,US,US-OK,Nowata,null,null,KH66,H66,"36.722017, -95.622017"
H75,small_airport,Hernando Village Airpark,242,NA,US,US-MS,Hernando,null,null,H75,H75,"34.797833, -90.035405"
H77,seaplane_base,Bridge Bay Resort Seaplane Base,1065,NA,US,US-CA,Redding,null,null,H77,H77,"40.757598876953125, -122.322998046875"
